Sum of Wheat: Yield,Column Labels,,,,,,,,,
Row Labels,Angola,Brazil,India,Italy,Nigeria,Peru,Sri Lanka,United Kingdom,United States,Grand Total
1947,,,,,,,,,,
1948,,,,,,,,,,
1949,,,,,,,,,,
1950,,,,1.52,,,,2.72,,4.24
1951,,,,,,,,,,
1952,,,,,,,,,,
1953,,,,,,,,,,
1954,,,,,,,,,,
1955,,,,,,,,,,
1956,,,,,,,,,,
1957,,,,,,,,,,
1958,,,,,,,,,,
1959,,,,,,,,,,
1960,,,,,,,,,,
1961,1.1111,0.533,0.85069996,1.9102999,1.7778,1.0012,,3.5372,1.607,12.32829986
1962,1.1111,0.94909996,0.8896,2.0846999,1.7778,0.99259996,,4.3526998,1.6809,13.83849962
1963,1.1111,0.49449998,0.79289997,1.8493999,1.7778,1.0157,,3.9050999,1.6948999,12.64139965
1964,0.92859995,0.87649995,0.7299,1.9476999,1.8182,0.95879996,,4.2475,1.7343999,13.24159966
1965,1.1111,0.7636,0.91319996,2.2796,1.8182,0.958,,4.0653,1.7852999,13.69429986
1966,1.1,0.8573,0.8268,2.1992,1.8182,0.9253,,3.8355,1.7687999,13.3310999
1967,1.35,0.7574,0.8874,2.3918,1.9090999,0.95199996,,4.1832,1.7375,14.16839986
1968,1.35,0.8825,1.1028,2.2559,1.8182,0.83,,3.5470998,1.9116,13.6980998
1969,0.94299996,0.9762,1.1688,2.2724,1.8182,0.9327,,4.0383,2.0579998,14.20759976
1970,0.85459995,0.97309995,1.2085999,2.3411999,1.7272999,0.92029995,,4.1939,2.0865,14.30549955
1971,0.913,0.8865,1.3066,2.556,1.7391,0.88229996,,4.389,2.2828999,14.95539986
1972,1.1592,0.42369998,1.3799,2.4329998,1.7391,0.8901,,4.2412,2.1983,14.46449978
1973,0.8867,1.1043999,1.2708,2.4543,1.4286,0.9011,,4.3654,2.1248,14.5360999
1974,1.3065,1.1567999,1.1718999,2.5797,1.5,0.9241,,4.9712,1.8333,15.4434998
1975,1,0.61,1.3384,2.6746,1.6364,0.9453,,4.3343997,2.0582,14.5972997
1976,1,0.9084,1.4103,2.5693998,1.8,0.95199996,,3.8504999,2.0375,14.52809966
1977,0.76919997,0.6552,1.3866,2.2308,2,1.0023,,4.9006,2.0629,15.00759997
1978,0.5882,0.9572,1.4798,2.6469998,2,1.0076,,5.2525997,2.1136,16.0459995
1979,0.5333,0.76409996,1.5683,2.6013,2.2,1.0605999,,5.2292,2.2979999,16.25479976
1980,0.5833,0.8653,1.4355999,2.6864998,2.3999999,0.93939996,,5.8782,2.2512999,17.03959946
1981,0.63159996,1.1508,1.6299,2.7098,2.6,1.0224999,,5.8417,2.3229,17.90919986
1982,0.625,0.64599997,1.6912999,2.6959,2.6,1.0597,,6.2057,2.3859,17.90949987
1983,0.625,1.1903,1.8158,2.6155,1.8571,0.9474,,6.3717,2.6509,18.0737
1984,0.625,1.1387,1.8432,3.072,1.6875,1.03,,7.7205,2.6073,19.7242
1985,0.625,1.614,1.8700999,2.7886,2.0544999,1.1388,,6.3332996,2.5197,18.9439994
1986,0.79999995,1.4466,2.046,2.9027998,1.9700999,1.2362,,6.9659,2.3167,19.68429965
1987,0.79999995,1.7653999,1.9161999,3.039,1.9305999,1.2758,,5.988,2.533,19.24799965
1988,0.79999995,1.6528,2.0019,2.7649999,1.25,1.3227999,,6.2142,2.2913,18.29799975
1989,0.79999995,1.6925,2.2444,2.5184,1.1999999,1.3550999,,6.7369,2.2024,18.74969975
1990,0.7995,1.1539999,2.1211,2.9243,0.8333,1.0847,,6.9712,2.6567,18.5447999
1991,0.79999995,1.4232,2.2814,3.5094,1.1999999,0.85529995,,7.2518997,2.3037999,19.6249994
1992,0.79999995,1.4295,2.394,3.5505998,1.3333,1.3304,,6.8194,2.6432998,20.30049955
1993,0.88619995,1.4825,2.3267,3.5533,2.3286,1.4812,,7.3282,2.5699,21.95659995
1994,1,1.5540999,2.3796,3.4796,2.3467,1.242,,7.3519998,2.527,21.8809997
1995,1.1865,1.5419999,2.559,3.2013,2.1799998,1.2643,,7.6991997,2.4064999,22.0387993
1996,1.3758,1.8334,2.4828,3.317,2.0435,1.2499,,8.1315,2.4389,22.8728
1997,1.5529,1.6358999,2.6789,2.8562999,2.6399999,1.115,,7.3775997,2.6574,22.5139994
1998,1.7142999,1.6111,2.4852,3.5818,2,1.1647999,,7.5541997,2.9034,23.0147995
1999,1.7391,1.9698999,2.5901,3.2433999,2.0119998,1.2876999,,8.0494995,2.8725998,23.7642988
2000,1.7025,1.5156,2.7784998,3.2133,1.4038,1.2796999,,8.0075,2.8237998,22.7246995
2001,1.6667,1.9488,2.7080998,2.8012998,0.9808,1.2465,,7.0827,2.7017999,21.1366995
2002,1.5485,1.4754,2.7621,3.1246998,0.98179996,1.3456,,8.0028,2.3567,21.59759976
2003,1.3879,2.4034998,2.61,2.7482,1.0357,1.3779,,7.7798,2.9712,22.3141998
2004,1.2412,2.0728,2.7131999,3.6697998,1.069,1.3872,,7.7753997,2.9025998,22.8311992
2005,1.086,1.9734999,2.6016,3.6352,1.1,1.344,,7.9609,2.8230999,22.5242998
2006,1,1.5927,2.6188,3.7294998,1.127,1.336,,8.036099,2.5986,22.0386988
2007,1,2.2199,2.7079,3.4136999,1.6923,1.2562,,7.2244,2.7045999,22.2189998
2008,1,2.5497,2.8021998,3.8688998,1.6563,1.3838999,,8.2814,3.0175,24.5598995
2009,1,2.0802,2.9071,3.5858998,1.6667,1.4315,,7.9283996,2.9896998,23.5894992
2010,1.0526,2.8288,2.8395,3.7421,1.4843999,1.4224,,7.6745996,3.1167,24.1610995
2011,1.0958999,2.6601999,2.9886,3.8335,1.2791,1.4719,,7.7471,2.9422,24.0184998
2012,1.1294,2.31,3.1775,4.1293,1.0188999,1.4891,,6.6570997,3.1153998,23.0266994
2013,0.9399,2.7491,3.1538,3.8441,1,1.4976,,7.3838,3.1673,23.7356
2014,0.7798,2.2087998,3.1457,3.8107,1.3043,1.5554,,8.5786,2.9378,24.3210998
2015,1.0059,2.2278,2.7496,3.928,1,1.5529,,8.976,2.9299,24.3701
2016,0.8829,3.1550999,3.0339,4.203,1,1.5623,,7.8897,3.5407999,25.2676998
2017,0.858,2.279,3.1999,3.8562,1.6779,1.505,,8.2796,3.1174998,24.7730998
2018,0.89199996,2.6292,3.3681998,3.8999,1.7141999,1.5403,,7.7545996,3.2005,24.99889926
2019,0.8775,2.6578,3.5333998,3.8409,1.6825999,1.5623,,8.9345,3.4745998,26.5635995
2020,0.8757,2.6079,3.4398,3.9248,1.1,1.6334,,6.9631996,3.3416998,23.8864994
2021,0.8817,2.8621,3.5207999,4.2248,1.125,1.7131,,7.8145,2.9805,25.1224999
2022,0.87829995,3.2658,3.5372999,3.7199998,1.1,1.7659999,,8.5904,3.1273,25.98509955
Grand Total,62.67829915,98.60119825,133.373998,194.2865967,101.7709983,75.11519876,,430.1407236,156.0170967,1251.984109
